Region,Load,TR
MISO,82382.12,0.021469575
MISO,82361.6,0.021584386
MISO,82315.1,0.021699196
MISO,82286.1,0.021814007
MISO,82226.1,0.021928817
MISO,82167.6,0.022043628
MISO,82153.08,0.022158439
MISO,82110,0.022273249
MISO,82103.7,0.02238806
MISO,82051.9,0.02250287
MISO,82042,0.022617681
MISO,82034.1,0.022732491
MISO,82020.18,0.022847302
MISO,81967.6,0.022962113
MISO,81965.05,0.023076923
MISO,81943.58,0.023191734
MISO,81916.15,0.023306544
MISO,81912.8,0.023421355
MISO,81866.6,0.023536165
MISO,81864.62,0.023650976
MISO,81848.5,0.023765786
MISO,81810.3,0.023880597
MISO,81792.6,0.023995408
MISO,81787.1,0.024110218
MISO,81786.1,0.024225029
MISO,81784.4,0.024339839
MISO,81779.4,0.02445465
MISO,81767.19,0.02456946
MISO,81737.8,0.024684271
MISO,81714.1,0.024799082
MISO,81653.3,0.024913892
MISO,81640.37,0.025028703
MISO,81613.2,0.025143513
MISO,81573.5,0.025258324
MISO,81565.7,0.025373134
MISO,81539.63,0.025487945
MISO,81457.9,0.025602755
MISO,81440.4,0.025717566
MISO,81432.9,0.025832377
MISO,81405.9,0.025947187
MISO,81405.4,0.026061998
MISO,81390,0.026176808
MISO,81342.6,0.026291619
MISO,81321.76,0.026406429
MISO,81308.1,0.02652124
MISO,81273.6,0.026636051
MISO,81270.3,0.026750861
MISO,81252.2,0.026865672
MISO,81250.59,0.026980482
MISO,81249.65,0.027095293
MISO,81248.59,0.027210103
MISO,81234.1,0.027324914
MISO,81230.5,0.027439724
MISO,81212.1,0.027554535
MISO,81178.1,0.027669346
MISO,81169.1,0.027784156
MISO,81144.9,0.027898967
MISO,81144.31,0.028013777
MISO,81121.65,0.028128588
MISO,81093.3,0.028243398
MISO,81085.9,0.028358209
MISO,81077.71,0.02847302
MISO,81035.5,0.02858783
MISO,81021.75,0.028702641
MISO,80997.53,0.028817451
MISO,80964.46,0.028932262
MISO,80960.3,0.029047072
MISO,80946.9,0.029161883
MISO,80937.39,0.029276693
MISO,80903.18,0.029391504
MISO,80881.1,0.029506315
MISO,80880.82,0.029621125
MISO,80874.2,0.029735936
MISO,80832.89,0.029850746
MISO,80816.8,0.029965557
MISO,80816.3,0.030080367
MISO,80808.7,0.030195178
MISO,80801.63,0.030309989
MISO,80795.7,0.030424799
MISO,80783.1,0.03053961
MISO,80778.6,0.03065442
MISO,80749.8,0.030769231
MISO,80737,0.030884041
MISO,80706.6,0.030998852
MISO,80689.8,0.031113662
MISO,80688.03,0.031228473
MISO,80630.3,0.031343284
MISO,80605.6,0.031458094
MISO,80603.93,0.031572905
MISO,80567.58,0.031687715
MISO,80538.4,0.031802526
MISO,80529.6,0.031917336
MISO,80525.9,0.032032147
MISO,80508.34,0.032146958
MISO,80481.5,0.032261768
MISO,80459.88,0.032376579
MISO,80458.9,0.032491389
MISO,80424.93,0.0326062
MISO,80400.76,0.03272101
MISO,80396.9,0.032835821
MISO,80387.29,0.032950631
MISO,80375.8,0.033065442
MISO,80357.96,0.033180253
MISO,80325.01,0.033295063
MISO,80292.9,0.033409874
MISO,80292.4,0.033524684
MISO,80287.4,0.033639495
MISO,80267.44,0.033754305
MISO,80240.05,0.033869116
MISO,80228.93,0.033983927
MISO,80226.5,0.034098737
MISO,80199.6,0.034213548
MISO,80177.5,0.034328358
MISO,80163.7,0.034443169
MISO,80155.1,0.034557979
MISO,80150.2,0.03467279
MISO,80143.8,0.0347876
MISO,80079.36,0.034902411
MISO,80077.99,0.035017222
MISO,80064.19,0.035132032
MISO,80063.72,0.035246843
MISO,80047.9,0.035361653
MISO,80033.89,0.035476464
MISO,80024.2,0.035591274
MISO,80017.17,0.035706085
MISO,80001.2,0.035820896
MISO,79997.1,0.035935706
MISO,79996.5,0.036050517
MISO,79991.6,0.036165327
MISO,79989.86,0.036280138
MISO,79965.9,0.036394948
MISO,79946.28,0.036509759
MISO,79941.4,0.036624569
MISO,79937.49,0.03673938
MISO,79933,0.036854191
MISO,79918.01,0.036969001
MISO,79908.2,0.037083812
MISO,79903.3,0.037198622
MISO,79890.39,0.037313433
MISO,79883.45,0.037428243
MISO,79879.87,0.037543054
MISO,79878.9,0.037657865
MISO,79854.9,0.037772675
MISO,79818.3,0.037887486
MISO,79817.4,0.038002296
MISO,79803.87,0.038117107
MISO,79801.36,0.038231917
MISO,79777.4,0.038346728
MISO,79761.2,0.038461538
MISO,79756.21,0.038576349
MISO,79750.7,0.03869116
MISO,79741.48,0.03880597
MISO,79739.2,0.038920781
MISO,79734.5,0.039035591
MISO,79729.3,0.039150402
MISO,79715.9,0.039265212
MISO,79709.17,0.039380023
MISO,79706.9,0.039494834
MISO,79694.4,0.039609644
MISO,79690.7,0.039724455
MISO,79687.4,0.039839265
MISO,79682.4,0.039954076
MISO,79653.6,0.040068886
MISO,79634.2,0.040183697
MISO,79620.32,0.040298507
MISO,79613.17,0.040413318
MISO,79592.5,0.040528129
MISO,79591.25,0.040642939
MISO,79574.3,0.04075775
MISO,79570.8,0.04087256
MISO,79563.5,0.040987371
MISO,79562.64,0.041102181
MISO,79545.75,0.041216992
MISO,79515.8,0.041331803
MISO,79510,0.041446613
MISO,79496.51,0.041561424
MISO,79488.65,0.041676234
MISO,79482.8,0.041791045
MISO,79480.9,0.041905855
MISO,79473.9,0.042020666
MISO,79464.6,0.042135476
MISO,79451.9,0.042250287
MISO,79447,0.042365098
MISO,79445.3,0.042479908
MISO,79440.3,0.042594719
MISO,79430.8,0.042709529
MISO,79414.4,0.04282434
MISO,79410.8,0.04293915
MISO,79346.6,0.043053961
MISO,79326.7,0.043168772
MISO,79320.4,0.043283582
MISO,79311.8,0.043398393
MISO,79304.08,0.043513203
MISO,79284.31,0.043628014
MISO,79273.22,0.043742824
MISO,79272.57,0.043857635
MISO,79256.7,0.043972445
MISO,79224.35,0.044087256
MISO,79201.8,0.044202067
MISO,79177.18,0.044316877
MISO,79168.87,0.044431688
MISO,79149.77,0.044546498
MISO,79143.05,0.044661309
MISO,79141.11,0.044776119
MISO,79113.3,0.04489093
MISO,79107.3,0.045005741
MISO,79103.1,0.045120551
MISO,79083.1,0.045235362
MISO,79081.9,0.045350172
MISO,79057.7,0.045464983
MISO,79027.6,0.045579793
MISO,79014.87,0.045694604
MISO,79012.14,0.045809414
MISO,79008.9,0.045924225
MISO,79006.6,0.046039036
MISO,79003.8,0.046153846
MISO,78951.76,0.046268657
MISO,78945.61,0.046383467
MISO,78922.24,0.046498278
MISO,78914.4,0.046613088
MISO,78896.98,0.046727899
MISO,78892.8,0.04684271
MISO,78887.11,0.04695752
MISO,78878.06,0.047072331
MISO,78874.5,0.047187141
MISO,78867.94,0.047301952
MISO,78859.31,0.047416762
